42F8D9F0    42F8E074    42F8E6F7    42F8ED7D    42F8F406    42F8FA8D    42F9010F    42F90795    42F90E1A    42F914A1    42F91B27    42F921A9    42F9282E    42F92EB5    3D0B4395    3D0F5C29    
42FF5F45    42FF65CD    42FF6C4D    42FF72D4    42FF795A    42FF7FE0    42FF8667    42FF8CEC    42FF936E    42FF99F7    42FFA07B    42FFA6FF    42FFAD86    42FFB40A    3E947AE1    3E94FDF4    
42FFC799    42FFCE21    42FFD4A2    42FFDB2A    42FFE1AD    42FFE835    42FFEEBA    42FFF53F    42FFFBC5    43000126    43000469    430007AA    43000AEB    43000E30    3E9CAC08    3E9D2F1B    
430017FA    43001B3C    43001E7D    430021C0    43002503    43002845    43002B88    43002ECB    4300320E    4300354F    43003893    43003BD4    43003F16    43004259    3EA4DD2F    3EA56042    
43004C23    43004F66    430052A9    430055EA    4300592E    43005C71    43005FB2    430062F6    43006638    4300697A    43006CBB    43007000    43007342    43007684    3EAD0E56    3EAD9168    
4300804C    43008391    430086D2    43008A13    43008D57    4300909A    430093DD    4300971F    43009A62    43009DA6    4300A0E7    4300A42A    4300A76D    4300AAB1    3EB53F7D    3EB5C28F    
4300B476    4300B7BA    4300BAFD    4300BE3F    4300C183    4300C4C5    4300C808    4300CB4A    4300CE8D    4300D1D0    4300D511    4300D853    4300DB99    4300DEDA    3EBD70A4    3EBDF3B6    
4300E8A3    4300EBE4    4300EF28    4300F26C    4300F5AC    4300F8EF    4300FC32    4300FF74    430102B8    430105FB    4301093C    43010C80    43010FC3    43011305    3EC5A1CB    3EC624DD    
43011CCD    4301200F    43012352    43012695    430129D8    43012D1A    4301305F    4301339F    430136E4    43013A24    43013D67    430140A8    430143ED    4301472F    3ECDD2F2    3ECE5604    
430150F8    4301543A    4301577C    43015ABF    43015E02    43016145    43016487    430167CB    43016B0D    43016E4F    43017192    430174D6    43017816    43017B5B    3ED60419    3ED6872B    
43018521    43018866    43018BA5    43018EEB    4301922C    4301956F    430198B2    43019BF6    43019F37    4301A279    4301A5BC    4301A900    4301AC42    4301AF83    3EDE353F    3EDEB852    
4301B94D    4301BC90    4301BFD3    4301C314    4301C65A    4301C99C    4301CCDD    4301D021    4301D364    4301D6A4    4301D9E8    4301DD2B    4301E06D    4301E3B0    3EE66666    3EE6E979    
4301ED77    4301F0B9    4301F3FC    4301F741    4301FA82    4301FDC5    4302010A    43020449    4302078D    43020ACF    43020E12    43021154    43021499    430217DA    3EEE978D    3EEF1AA0    
430221A3    430224E6    43022827    43022B6B    43022EAD    430231F1    43023533    43023874    43023BB9    43023EFB    4302423C    4302457F    430248C2    43024C05    3EF6C8B4    3EF74BC7    
430255CE    43025910    43025C51    43025F95    430262D8    4302661B    4302695D    43026CA0    43026FE4    43027325    43027668    430279AB    43027CED    43028030    3EFEF9DB    3EFF7CEE    
430289F8    43028D3A    4302907B    430293BF    43029702    43029A44    43029D88    4302A0C9    4302A40E    4302A74D    4302AA92    4302ADD6    4302B117    4302B45C    3F039581    3F03D70A    
4302BE23    4302C166    4302C4A8    4302C7EA    4302CB2C    4302CE6E    4302D1B3    4302D4F5    4302D839    4302DB78    4302DEBE    4302E1FE    4302E541    4302E885    3F07AE14    3F07EF9E    
4302F24D    4302F58E    4302F8D3    4302FC14    4302FF58    4303029B    430305DD    4303091F    43030C64    43030FA5    430312E6    4303162B    4303196B    43031CAF    3F0BC6A8    3F0C0831    
43032678    430329BA    43032CFD    43033040    43033383    430336C4    43033A09    43033D4B    4303408C    430343CF    43034713    43034A56    43034D98    430350DA    3F0FDF3B    3F1020C5    
43035AA3    43035DE4    43036127    43036469    430367AE    43036AEF    43036E33    43037176    430374B8    430377F8    43037B3D    43037E7F    430381C3    43038504    3F13F7CF    3F143958    
43038ECB    43039211    43039552    43039892    43039BD6    43039F1A    4303A25D    4303A5A1    4303A8E3    4303AC24    4303AF68    4303B2AC    4303B5EC    4303B930    3F181062    3F1851EC    
4303C2F7    4303C639    4303C97C    4303CCC0    4303D002    4303D345    4303D688    4303D9CA    4303DD0E    4303E051    4303E391    4303E6D3    4303EA17    4303ED5A    3F1C28F6    3F1C6A7F    
4303F721    4303FA66    4303FDA9    430400E8    4304042B    4304076F    43040AB2    43040DF4    43041138    4304147C    430417BE    43041B00    43041E42    43042185    3F204189    3F208312    
43042B4D    43042E8F    430431D3    43043516    43043857    43043B9B    43043EDE    4304421F    43044562    430448A5    43044BE7    43044F2A    4304526D    430455B0    3F245A1D    3F249BA6    
43045F78    430462BB    430465FE    43046941    43046C81    43046FC6    43047307    43047649    4304798C    43047CCF    43048013    43048355    43048698    430489DB    3F2872B0    3F28B439    
430493A2    430496E4    43049A28    43049D6A    4304A0AD    4304A3F0    4304A734    4304AA76    4304ADB8    4304B0FA    4304B43D    4304B780    4304BAC4    4304BE05    3F2C8B44    3F2CCCCD    
4304C7CD    4304CB12    4304CE52    4304D195    4304D4D8    4304D81A    4304DB5E    4304DE9F    4304E1E1    4304E525    4304E866    4304EBAA    4304EEED    4304F230    3F30A3D7    3F30E560    
4304FBF5    4304FF3A    4305027D    430505C0    43050904    43050C47    43050F89    430512CB    4305160E    43051951    43051C94    43051FD5    43052317    4305265A    3F34BC6A    3F34FDF4    
43053021    43053364    430536A7    430539EB    43053D2F    43054070    430543B3    430546F5    43054A39    43054D7A    430550BE    43055400    43055743    43055A85    3F38D4FE    3F391687    
4305644E    4305678E    43056AD2    43056E13    43057158    4305749A    430577DC    43057B1D    43057E62    430581A5    430584E8    4305882B    43058B6D    43058EB1    3F3CED91    3F3D2F1B    
43059877    43059BBA    43059EFE    4305A240    4305A582    4305A8C5    4305AC09    4305AF4B    4305B28D    4305B5D0    4305B911    4305BC55    4305BF97    4305C2D9    3F410625    3F4147AE    
4305CCA0    4305CFE5    4305D326    4305D66A    4305D9AD    4305DCEF    4305E032    4305E375    4305E6B7    4305E9FB    4305ED3C    4305F07E    4305F3C2    4305F706    3F451EB8    3F456042    
430600CE    4306040F    43060753    43060A95    43060DD9    4306111A    4306145C    430617A0    43061AE2    43061E24    43062167    430624AB    430627ED    43062B30    3F49374C    3F4978D5    
430634F8    4306383A    43063B7C    43063EBF    43064203    43064544    43064889    43064BCA    43064F0C    4306524F    43065591    430658D5    43065C19    43065F5A    3F4D4FDF    3F4D9168    
43066923    43066C65    43066FA8    430672EA    4306762D    43067971    43067CB3    43067FF6    43068336    4306867B    430689BE    43068D01    43069043    43069388    3F516873    3F51A9FC    
43069D4D    4306A08F    4306A3D2    4306A716    4306AA58    4306AD9B    4306B0DD    4306B420    4306B764    4306BAA5    4306BDE7    4306C12A    4306C46D    4306C7AF    3F558106    3F55C28F    
4306D178    4306D4BA    4306D7FB    4306DB3F    4306DE83    4306E1C4    4306E508    4306E849    4306EB8D    4306EED0    4306F212    4306F556    4306F897    4306FBDB    3F59999A    3F59DB23    
430705A4    430708E5    43070C27    43070F6C    430712AB    430715EF    43071931    43071C75    43071FB7    430722F9    4307263F    43072980    43072CC1    43073007    3F5DB22D    3F5DF3B6    
430739CC    43073D0F    43074053    43074395    430746D7    43074A1B    43074D5E    430750A0    430753E2    43075724    43075A67    43075DAA    430760EC    4307642E    3F61CAC1    3F620C4A    
43076DF7    4307713B    4307747D    430777C0    43077B02    43077E45    43078187    430784CA    4307880D    43078B4F    43078E93    430791D5    4307951A    4307985A    3F65E354    3F6624DD    
4307A221    4307A565    4307A8A8    4307ABEA    4307AF2E    4307B271    4307B5B3    4307B8F5    4307BC37    4307BF7A    4307C2BD    4307C5FE    4307C942    4307CC83    3F69FBE7    3F6A3D71    
4307D64D    4307D990    4307DCD4    4307E016    4307E359    4307E69A    4307E9DE    4307ED1F    4307F062    4307F3A6    4307F6E8    4307FA2B    4307FD6E    430800B0    3F6E147B    3F6E5604    
43080A78    43080DBA    430810FC    4308143F    43081781    43081AC4    43081E08    4308214A    4308248E    430827CF    43082B11    43082E54    43083196    430834DA    3F722D0E    3F726E98    
43083EA3    430841E4    43084527    4308486A    43084BAD    43084EF0    43085232    43085576    430858B6    43085BFC    43085F3E    4308627D    430865C1    43086906    3F7645A2    3F76872B    
430872CC    43087610    43087953    43087C94    43087FD8    4308831A    4308865C    430889A0    43088CE1    43089023    43089367    430896AC    430899ED    43089D31    3F7A5E35    3F7A9FBE    
4308A6F7    4308AA3B    4308AD7F    4308B0C0    4308B402    4308B745    4308BA86    4308BDCA    4308C10B    4308C44E    4308C791    4308CAD3    4308CE1A    4308D15A    3F7E76C9    3F7EB852    
4308DB23    4308DE66    4308E1AA    4308E4EB    4308E82E    4308EB72    4308EEB3    4308F1F5    4308F537    4308F87C    4308FBBE    4308FF00    43090242    43090584    3F8147AE    3F816873    
3F818937    3F81A9FC    3F81CAC1    3F81EB85    3F820C4A    3F822D0E    3F824DD3    3F826E98    3F828F5C    3F82B021    3F82D0E5    3F82F1AA    3F83126F    3F833333    3F8353F8    3F8374BC    
3F839581    3F83B646    3F83D70A    3F83F7CF    3F841893    3F843958    3F845A1D    3F847AE1    3F849BA6    3F84BC6A    3F84DD2F    3F84FDF4    3F851EB8    3F853F7D    3F856042    3F858106    
4393B619    4393BA61    4393BEAB    4393C2F4    4393C73C    4393CB85    4393CFCF    4393D417    4393D860    4393DCAB    4393E0F2    4393E539    4393E984    4393EDCD    3F876C8B    3F878D50    
4393FAA6    4393FEEF    4394033A    43940780    43940BCB    43941013    4394145B    439418A2    43941CEC    43942136    4394257E    439429C5    43942E11    43943258    3F8978D5    3F89999A    
43943F33    4394437B    439447C5    43944C0E    43945056    4394549F    439458E8    43945D32    4394617B    439465C2    43946A0E    43946E53    4394729B    439476E7    3F8B851F    3F8BA5E3    
439483C1    4394880A    43948C52    43949099    439494E5    4394992A    43949D74    4394A1BC    4394A607    4394AA4F    4394AE99    4394B2E1    4394B72A    4394BB74    3F8D9168    3F8DB22D    
4394C84F    4394CC98    4394D0DF    4394D528    4394D970    4394DDB9    4394E200    4394E64A    4394EA94    4394EEDC    4394F326    4394F76D    4394FBB9    4394FFFD    3F8F9DB2    3F8FBE77    
43950CDA    43951123    4395156D    439519B2    43951DFE    43952247    43952690    43952AD6    43952F22    43953369    439537B3    43953BFB    43954047    43954489    3F91A9FC    3F91CAC1    
43955166    439555B1    439559F8    43955E42    4395628A    439566D1    43956B1C    43956F63    439573AD    439577F7    43957C41    43958087    439584D2    4395891A    3F93B646    3F93D70A    
439595F5    43959A3C    43959E85    4395A2CE    4395A717    4395AB61    4395AFA9    4395B3F1    4395B83A    4395BC82    4395C0CB    4395C513    4395C95F    4395CDA9    3F95C28F    3F95E354    
4395DA81    4395DEC8    4395E316    4395E75C    4395EBA6    4395EFED    4395F437    4395F881    4395FCCA    4396010F    4396055B    439609A4    43960DEA    43961235    3F97CED9    3F97EF9E    
43961F0C    43962359    439627A0    43962BEA    43963031    4396347A    439638C2    43963D0A    43964154    4396459C    439649E7    43964E2E    43965277    439656C3    3F99DB23    3F99FBE7    
4396639B    439667E4    43966C2F    43967073    439674BE    4396790A    43967D50    4396819A    439685DF    43968A2B    43968E70    439692BC    43969705    43969B4E    3F9BE76D    3F9C0831    
4396A827    4396AC74    4396B0BA    4396B503    4396B94B    4396BD91    4396C1DD    4396C625    4396CA70    4396CEB6    4396D302    4396D749    4396DB91    4396DFDC    3F9DF3B6    3F9E147B    
4396ECB6    4396F0FD    4396F546    4396F990    4396FDD9    4397021F    4397066B    43970AB1    43970EFB    43971345    4397178D    43971BD6    4397201F    43972469    3FA00000    3FA020C5    
43973141    4397358B    439739D2    43973E1D    43974265    439746AF    43974AF7    43974F40    43975386    439757D1    43975C1B    43976061    439764AD    439768F6    3FA20C4A    3FA22D0E    
439775CF    43977A17    43977E5F    439782A8    439786F3    43978B3E    43978F82    439793CC    43979815    43979C5D    4397A0A5    4397A4F2    4397A936    4397AD83    3FA41893    3FA43958    
4397BA5B    4397BEA6    4397C2ED    4397C736    4397CB80    4397CFC8    4397D410    4397D85C    4397DCA2    4397E0EB    4397E534    4397E97C    4397EDC4    4397F20E    3FA624DD    3FA645A2    
4397FEE9    43980331    4398077A    43980BC6    4398100D    43981453    4398189D    43981CE6    4398212E    43982578    439829BF    43982E0B    43983252    4398369D    3FA83127    3FA851EC    
43984376    439847C0    43984C07    43985051    43985497    439858E4    43985D2B    43986174    439865BB    43986A04    43986E4E    43987297    439876DE    43987B2B    3FAA3D71    3FAA5E35    
43988804    43988C4D    43989094    439894DD    43989928    43989D6E    4398A1B7    4398A602    4398AA47    4398AE93    4398B2D9    4398B724    4398BB6C    4398BFB6    3FAC49BA    3FAC6A7F    
4398CC8F    4398D0D9    4398D520    4398D96A    4398DDB4    4398E1FC    4398E644    4398EA8C    4398EED4    4398F321    4398F767    4398FBB3    4398FFFA    43990443    3FAE5604    3FAE76C9    
43991119    43991566    439919AF    43991DF7    43992241    43992689    43992AD2    43992F1A    43993364    439937AA    43993BF5    4399403E    43994486    439948CF    3FB0624E    3FB08312    
439955A9    439959F4    43995E3C    43996281    439966CF    43996B16    43996F5E    439973A9    439977EF    43997C3C    43998082    439984CD    43998913    43998D5C    3FB26E98    3FB28F5C    
43999A37    43999E7F    4399A2CA    4399A710    4399AB5B    4399AFA2    4399B3EE    4399B834    4399BC7D    4399C0C6    4399C510    4399C957    4399CDA1    4399D1EA    3FB47AE1    3FB49BA6    
4399DEC6    4399E30B    4399E757    4399EB9D    4399EFE7    4399F432    4399F877    4399FCC1    439A0109    439A0554    439A099C    439A0DE5    439A122D    439A1674    3FB6872B    3FB6A7F0    
439A2351    439A279A    439A2BE2    439A302B    439A3476    439A38BC    439A3D07    439A414E    439A4598    439A49E0    439A4E2B    439A5272    439A56B8    439A5B04    3FB89375    3FB8B439    
439A67DE    439A6C24    439A7071    439A74B8    439A7901    439A7D4B    439A8193    439A85DB    439A8A23    439A8E6D    439A92B5    439A96FE    439A9B4A    439A9F90    3FBA9FBE    3FBAC083    
439AAC69    439AB0B3    439AB4FD    439AB944    439ABD8E    439AC1D6    439AC61E    439ACA67    439ACEB1    439AD2FB    439AD743    439ADB8A    439ADFD4    439AE41C    3FBCAC08    3FBCCCCD    
439AF0F7    439AF540    439AF988    439AFDD1    439B021D    439B0664    439B0AAE    439B0EF6    439B133E    439B1788    439B1BD1    439B2018    439B2462    439B28AA    3FBEB852    3FBED917    
439B3585    439B39CC    439B3E17    439B425F    439B46A9    439B4AF0    439B4F39    439B5381    439B57CC    439B5C14    439B605D    439B64A4    439B68EE    439B6D37    3FC0C49C    3FC0E560    
439B7A10    439B7E59    439B82A3    439B86EB    439B8B38    439B8F7B    439B93C5    439B9811    439B9C57    439BA09E    439BA4E9    439BA933    439BAD7A    439BB1C3    3FC2D0E5    3FC2F1AA    
439BBE9F    439BC2E5    439BC733    439BCB78    439BCFC3    439BD409    439BD852    439BDC9C    439BE0E6    439BE52D    439BE975    439BEDC0    439BF208    439BF650    3FC4DD2F    3FC4FDF4    
439C032E    439C0771    439C0BBF    439C1005    439C144E    439C1897    439C1CDF    439C2128    439C2571    439C29BD    439C2E03    439C324D    439C3696    439C3ADE    3FC6E979    3FC70A3D    
439C47B8    439C4C01    439C504A    439C5493    439C58DC    439C5D24    439C616D    439C65B6    439C6A01    439C6E49    439C728E    439C76DC    439C7B22    439C7F6B    3FC8F5C3    3FC91687    
439C8C47    439C908E    439C94D8    439C9921    439C9D68    439CA1B1    439CA5F9    439CAA45    439CAE88    439CB2D4    439CB71E    439CBB65    439CBFB0    439CC3FA    3FCB020C    3FCB22D1    
439CD0D2    439CD51C    439CD965    439CDDAB    439CE1F5    439CE63E    439CEA87    439CEED1    439CF317    439CF763    439CFBAC    439CFFF4    439D043E    439D0883    3FCD0E56    3FCD2F1B    
439D155F    439D19A6    439D1DF3    439D2239    439D2682    439D2ACD    439D2F13    439D335E    439D37A5    439D3BEF    439D4037    439D4483    439D48CA    439D4D13    3FCF1AA0    3FCF3B64    
439D59EC    439D5E37    439D627D    439D66C6    439D6B10    439D6F58    439D73A0    439D77EC    439D7C30    439D807C    439D84C5    439D890D    439D8D57    439D919C    3FD126E9    3FD147AE    
439D9E7B    439DA2C2    439DA70A    439DAB56    439DAF9B    439DB3E9    439DB82C    439DBC77    439DC0C2    439DC509    439DC951    439DCD9A    439DD1DF    439DD62C    3FD33333    3FD353F8    
439DE306    439DE750    439DEB98    439DEFDE    439DF428    439DF871    439DFCBC    439E0103    439E054D    439E0994    439E0DDF    439E1229    439E1670    439E1AB8    3FD53F7D    3FD56042    
439E2795    439E2BDC    439E3025    439E346C    439E38B9    439E3CFF    439E4147    439E4593    439E49D9    439E4E22    439E526B    439E56B4    439E5AFB    439E5F45    3FD74BC7    3FD76C8B    
439E6C1F    439E706A    439E74B1    439E78FB    439E7D43    439E818C    439E85D8    439E8A1C    439E8E66    439E92B0    439E96F5    439E9B44    439E9F89    439EA3D2    3FD95810    3FD978D5    
439EB0AA    439EB4F5    439EB940    439EBD88    439EC1D1    439EC61B    439ECA61    439ECEA9    439ED2F2    439ED73E    439EDB84    439EDFD0    439EE417    439EE860    3FDB645A    3FDB851F    
439EF53A    439EF984    439EFDCD    439F0212    439F065E    439F0AA5    439F0EEF    439F133A    439F177E    439F1BCC    439F2010    439F245A    439F28A4    439F2CE8    3FDD70A4    3FDD9168    
439F39CA    439F3E0E    439F425B    439F46A2    439F4AEA    439F4F34    439F537E    439F57C4    439F5C0E    439F6056    439F64A0    439F68E9    439F6D30    439F717A    3FDF7CEE    3FDF9DB2    
439F7E55    439F829D    439F86E8    439F8B2C    439F8F77    439F93C2    439F9808    439F9C55    439FA09A    439FA4E3    439FA92D    439FAD73    439FB1BE    439FB607    3FE18937    3FE1A9FC    
439FC2E2    439FC729    439FCB72    439FCFBB    439FD405    439FD84C    439FDC94    439FE0DF    439FE528    439FE971    439FEDB9    439FF200    439FF64A    439FFA92    3FE39581    3FE3B646    
43A0076E    43A00BB4    43A01001    43A01449    43A0188F    43A01CDB    43A02121    43A0256D    43A029B4    43A02DFF    43A03247    43A0368F    43A03AD9    43A03F20    3FE5A1CB    3FE5C28F    
43A04BFB    43A05043    43A05490    43A058D6    43A05D20    43A06166    43A065B1    43A069F9    43A06E42    43A07289    43A076D4    43A07B1E    43A07F66    43A083AB    3FE7AE14    3FE7CED9    
43A09086    43A094D2    43A09918    43A09D65    43A0A1AA    43A0A5F4    43A0AA3D    43A0AE87    43A0B2CD    43A0B716    43A0BB62    43A0BFA8    43A0C3F4    43A0C83B    3FE9BA5E    3FE9DB23    
43A0D516    43A0D95C    43A0DDA5    43A0E1F0    43A0E639    43A0EA7E    43A0EEC9    43A0F313    43A0F75C    43A0FBA4    43A0FFEE    43A10434    43A1087D    43A10CC7    3FEBC6A8    3FEBE76D    
43A119A0    43A11DEB    43A12233    43A1267C    43A12AC5    43A12F10    43A13356    43A137A1    43A13BE9    43A14030    43A1447B    43A148C3    43A14D0C    43A15154    3FEDD2F2    3FEDF3B6    
43A15E2E    43A16278    43A166C1    43A16B06    43A16F53    43A1739C    43A177E3    43A17C2D    43A18076    43A184BC    43A1890A    43A18D50    43A19197    43A195E3    3FEFDF3B    3FF00000    
43A1A2BC    43A1A701    43A1AB52    43A1AF95    43A1B3DD    43A1B828    43A1BC70    43A1C0BB    43A1C502    43A1C94B    43A1CD94    43A1D1DD    43A1D626    43A1DA6D    3FF1EB85    3FF20C4A    
43A1E74A    43A1EB8F    43A1EFDC    43A1F423    43A1F86C    43A1FCB5    43A200FE    43A20545    43A2098F    43A20DDA    43A2121F    43A2166B    43A21AB2    43A21EFB    3FF3F7CF    3FF41893    
43A22BD7    43A2301D    43A23466    43A238B1    43A23CF5    43A24142    43A2458B    43A249D6    43A24E1B    43A25265    43A256AF    43A25AF6    43A25F41    43A2638B    3FF60419    3FF624DD    
43A27063    43A274AF    43A278F5    43A27D3D    43A28186    43A285D0    43A28A17    43A28E61    43A292A9    43A296F4    43A29B38    43A29F85    43A2A3CF    43A2A815    3FF81062    3FF83127    
43A2B4F1    43A2B939    43A2BD81    43A2C1C9    43A2C612    43A2CA5E    43A2CEA3    43A2D2EF    43A2D736    43A2DB80    43A2DFC7    43A2E412    43A2E857    43A2ECA1    3FFA1CAC    3FFA3D71    
43A2F97D    43A2FDC6    43A3020D    43A30658    43A30A9F    43A30EE9    43A3132F    43A3177B    43A31BC1    43A3200D    43A32456    43A3289D    43A32CE8    43A33130    3FFC28F6    3FFC49BA    
43A33E0B    43A34254    43A34699    43A34AE5    43A34F2A    43A35377    43A357BF    43A35C06    43A36051    43A3649A    43A368E4    43A36D2A    43A37173    43A375BD    3FFE353F    3FFE5604    
43A38297    43A386E1    43A38B28    43A38F75    43A393B9    43A39802    43A39C49    43A3A094    43A3A4DD    43A3A927    43A3AD6F    43A3B1B5    43A3B600    43A3BA4A    400020C5    40003127    
43A3C723    43A3CB6A    43A3CFB3    43A3D3FF    43A3D846    43A3DC8F    43A3E0D8    43A3E522    43A3E969    43A3EDB4    43A3F1FD    43A3F645    43A3FA8E    43A3FED7    400126E9    4001374C    
43A40BAF    43A40FFC    43A41440    43A4188C    43A41CD4    43A4211A    43A42566    43A429AE    43A42DF7    43A43241    43A43688    43A43AD1    43A43F1C    43A44361    40022D0E    40023D71    
40024DD3    40025E35    40026E98    40027EFA    40028F5C    40029FBE    4002B021    4002C083    4002D0E5    4002E148    4002F1AA    4003020C    4003126F    400322D1    40033333    40034396    
400353F8    4003645A    400374BC    4003851F    40039581    4003A5E3    4003B646    4003C6A8    4003D70A    4003E76D    4003F7CF    40040831    40041893    400428F6    40043958    400449BA    
43E935B7    43E93CA5    43E9439A    43E94A86    43E95177    43E95868    43E95F5A    43E96648    43E96D36    43E9742A    43E97B19    43E98209    43E988F5    43E98FEC    40053F7D    40054FDF    
43E9A4BB    43E9ABAB    43E9B29B    43E9B98E    43E9C078    43E9C771    43E9CE5E    43E9D54D    43E9DC3D    43E9E32E    43E9EA1D    43E9F10E    43E9F7FF    43E9FEEF    400645A2    40065604    
43EA13C2    43EA1AB3    43EA21A2    43EA2891    43EA2F81    43EA3671    43EA3D61    43EA4454    43EA4B40    43EA5233    43EA5923    43EA6013    43EA6702    43EA6DF6    40074BC7    40075C29    
43EA82C4    43EA89B4    43EA90A3    43EA9795    43EA9E86    43EAA575    43EAAC67    43EAB358    43EABA43    43EAC139    43EAC825    43EACF16    43EAD609    43EADCF7    400851EC    4008624E    
43EAF1C9    43EAF8BC    43EAFFAA    43EB069F    43EB0D88    43EB147C    43EB1B6D    43EB225D    43EB2951    43EB303E    43EB372B    43EB3E1D    43EB450E    43EB4BFC    40095810    40096873    
43EB60CB    43EB67BD    43EB6EAE    43EB75A0    43EB7C90    43EB8381    43EB8A70    43EB9160    43EB9853    43EB9F3F    43EBA630    43EBAD1D    43EBB411    43EBBAFF    400A5E35    400A6E98    
43EBCFCE    43EBD6C5    43EBDDB3    43EBE4A4    43EBEB8F    43EBF285    43EBF975    43EC0061    43EC0752    43EC0E47    43EC1533    43EC1C25    43EC2316    43EC2A04    400B645A    400B74BC    
43EC3ED7    43EC45C9    43EC4CB6    43EC53A7    43EC5A96    43EC6188    43EC6873    43EC6F69    43EC7659    43EC7D48    43EC843A    43EC8B27    43EC9220    43EC990D    400C6A7F    400C7AE1    
43ECADDB    43ECB4D0    43ECBBB8    43ECC2AB    43ECC99E    43ECD08A    43ECD77B    43ECDE72    43ECE560    43ECEC50    43ECF33F    43ECFA2D    43ED011F    43ED080F    400D70A4    400D8106    
43ED1CDE    43ED23D1    43ED2AC2    43ED31B2    43ED389F    43ED3F92    43ED4683    43ED4D6F    43ED5463    43ED5B52    43ED6244    43ED6935    43ED7024    43ED7717    400E76C9    400E872B    
43ED8BE4    43ED92D7    43ED99C5    43EDA0B7    43EDA7A5    43EDAE94    43EDB586    43EDBC79    43EDC368    43EDCA57    43EDD149    43EDD83A    43EDDF25    43EDE618    400F7CEE    400F8D50    
43EDFAEA    43EE01DB    43EE08C8    43EE0FBB    43EE16A8    43EE1D97    43EE248B    43EE2B7C    43EE326D    43EE395B    43EE404B    43EE4740    43EE4E2B    43EE5520    40108312    40109375    
